team,home championship,,,
2994,St. Louis,,,
2996,Houston,,,
2998,St. Louis,,,
3000,St. Louis,,,
3003,St. Louis,,,
3004,St. Louis,,,
3005,Houston,,,
3006,Houston,,,
3007,St. Louis,,,
3008,Houston,,,
3009,Houston,,,
3010,St. Louis,,,
3011,St. Louis,,,
3013,Houston,,,
3015,St. Louis,,,
3017,St. Louis,,,
3018,St. Louis,,,
3019,Houston,,,
3021,Houston,,,
3023,St. Louis,,,
3024,Houston,,,
3026,St. Louis,,,
3028,Houston,,,
3029,Houston,,,
3034,Houston,,,
3035,Houston,,,
3036,St. Louis,,,
3037,Houston,,,
3038,St. Louis,,,
3039,Houston,,,
3042,St. Louis,,,
3043,Houston,,,
3044,St. Louis,,,
3045,Houston,,,
3049,Houston,,,
3054,St. Louis,,,
3055,St. Louis,,,
3058,St. Louis,,,
3061,St. Louis,,,
3062,St. Louis,,,
3065,Houston,,,
3067,St. Louis,,,
3070,Houston,,,
3072,St. Louis,,,
3075,Houston,,,
3081,St. Louis,,,
3082,St. Louis,,,
3083,Houston,,,
3090,St. Louis,,,
3091,Houston,,,
3096,St. Louis,,,
3098,St. Louis,,,
3100,St. Louis,,,
3102,St. Louis,,,
3103,Houston,,,
3104,St. Louis,,,
3110,St. Louis,,,
3117,St. Louis,,,
3120,Houston,,,
3122,St. Louis,,,
3128,Houston,,,
3130,St. Louis,,,
3131,Houston,,,
3132,Houston,,,
3133,Houston,,,
3134,St. Louis,,,
3136,St. Louis,,,
3137,St. Louis,,,
3138,St. Louis,,,
3139,Houston,,,
3140,Houston,,,
3142,St. Louis,,,
3145,Houston,,,
3146,St. Louis,,,
3147,St. Louis,,,
3151,St. Louis,,,
3152,Houston,,,
3157,St. Louis,,,
3158,Houston,,,
3160,Houston,,,
3161,St. Louis,,,
3163,Houston,,,
3164,Houston,,,
3166,Houston,,,
3167,St. Louis,,,
3168,St. Louis,,,
3171,St. Louis,,,
3172,St. Louis,,,
3173,St. Louis,,,
3175,St. Louis,,,
3176,St. Louis,,,
3179,Houston,,,
3180,St. Louis,,,
3181,St. Louis,,,
3182,St. Louis,,,
3184,St. Louis,,,
3187,Houston,,,
3189,Houston,,,
3193,St. Louis,,,
3196,Houston,,,
3197,St. Louis,,,
3200,Houston,,,
3201,St. Louis,,,
3202,St. Louis,,,
3204,St. Louis,,,
3205,St. Louis,,,
3206,St. Louis,,,
3211,Houston,,,
3212,St. Louis,,,
